[2025-08-11 16:00:41] [音频] 回退到虚拟线设备: CABLE Output (VB-Audio Virtual  (index=4)
[2025-08-11 16:00:42] [音频] 音频回调流已启动: index=4, channels=2, wasapi_extra_used=False
[2025-08-11 16:01:13] [系统] 音频监测线程已结束: K3-1 (2- HD Audio Driver for Display Audio)
[2025-08-12 16:24:26] [音频] 回退到虚拟线设备: CABLE Output (VB-Audio Virtual  (index=4)
[2025-08-12 16:24:26] [音频] 音频回调流已启动: index=4, channels=2, wasapi_extra_used=False
[2025-08-12 16:24:28] [系统] 音频监测线程已结束: K3-1 (2- HD Audio Driver for Display Audio)
[2025-08-12 19:12:13] [系统] 黑屏恢复，持续 4.3s
[2025-08-12 19:12:13] [系统] 黑屏恢复，持续 4.4s
[2025-08-12 19:12:13] [系统] 黑屏恢复，持续 4.5s
[2025-08-12 19:12:13] [系统] 黑屏恢复，持续 4.6s
[2025-08-12 19:12:13] [系统] 黑屏恢复，持续 4.6s
[2025-08-12 19:12:13] [系统] 黑屏恢复，持续 4.7s
[2025-08-12 19:12:13] [系统] 黑屏恢复，持续 4.7s
[2025-08-12 19:12:14] [系统] 黑屏恢复，持续 4.8s
[2025-08-12 19:12:14] [系统] 黑屏恢复，持续 4.9s
[2025-08-12 19:12:14] [系统] 黑屏恢复，持续 5.0s
[2025-08-12 19:12:14] [系统] 黑屏恢复，持续 5.0s
[2025-08-12 19:12:14] [系统] 黑屏恢复，持续 5.1s
[2025-08-12 19:12:14] [系统] 黑屏恢复，持续 5.1s
[2025-08-12 19:12:15] [闪屏] 检测到闪屏 brightness_diff=8.0 diff_prop=0.5906
[2025-08-12 19:12:16] [flicker] 视频已保存: shiping/flicker_20250812_191215.avi
[2025-08-12 19:12:26] [系统] 黑屏恢复，持续 1.7s
[2025-08-12 19:12:26] [系统] 黑屏恢复，持续 1.7s
[2025-08-12 19:12:26] [系统] 黑屏恢复，持续 1.8s
[2025-08-12 19:12:26] [系统] 黑屏恢复，持续 1.9s
[2025-08-12 19:12:26] [系统] 黑屏恢复，持续 1.9s
[2025-08-12 19:12:27] [系统] 黑屏恢复，持续 2.0s
[2025-08-12 19:12:27] [系统] 黑屏恢复，持续 2.1s
